GAMECODE,GAME_ID,SEASON
20171101/INDCLE,21700106,2017
20171101/ATLPHI,21700107,2017
20171101/PHXWAS,21700108,2017
20171101/SACBOS,21700109,2017
20171101/CHIMIA,21700110,2017
20171101/HOUNYK,21700111,2017
20171101/ORLMEM,21700112,2017
20171101/MINNOP,21700113,2017
20171101/TORDEN,21700114,2017
20171101/PORUTA,21700115,2017
20171101/DALLAC,21700116,2017
20171102/GSWSAS,21700117,2017
20171102/LALPOR,21700118,2017
20171103/MILDET,21700119,2017
20171103/CHIORL,21700120,2017
20171103/INDPHI,21700121,2017
20171103/CLEWAS,21700122,2017
20171103/HOUATL,21700123,2017
20171103/PHXNYK,21700124,2017
20171103/NOPDAL,21700125,2017
20171103/CHASAS,21700126,2017
20171103/MIADEN,21700127,2017
20171103/TORUTA,21700128,2017
20171103/BOSOKC,21700129,2017
20171103/BKNLAL,21700130,2017
20171104/MEMLAC,21700131,2017
20171104/SACDET,21700132,2017
20171104/NOPCHI,21700133,2017
20171104/DALMIN,21700134,2017
20171104/GSWDEN,21700135,2017
20171105/ATLCLE,21700136,2017
20171105/MIALAC,21700137,2017
20171105/BOSORL,21700138,2017
20171105/WASTOR,21700139,2017
20171105/UTAHOU,21700140,2017
20171105/PHXSAS,21700141,2017
20171105/INDNYK,21700142,2017
20171105/CHAMIN,21700143,2017
20171105/OKCPOR,21700144,2017
20171105/MEMLAL,21700145,2017
20171106/BOSATL,21700146,2017
20171106/BKNPHX,21700147,2017
20171106/MIAGSW,21700148,2017
20171107/MILCLE,21700149,2017
20171107/NOPIND,21700150,2017
20171107/DALWAS,21700151,2017
20171107/CHANYK,21700152,2017
20171107/CHITOR,21700153,2017
20171107/LACSAS,21700154,2017
20171107/BKNDEN,21700155,2017
20171107/PHIUTA,21700156,2017
20171107/MEMPOR,21700157,2017
20171107/OKCSAC,21700158,2017
20171108/INDDET,21700159,2017
20171108/NYKORL,21700160,2017
20171108/LALBOS,21700161,2017
20171108/MIAPHX,21700162,2017
20171108/MINGSW,21700163,2017
20171109/LALWAS,21700164,2017
20171109/NOPTOR,21700165,2017
20171109/CLEHOU,21700166,2017
20171109/PHISAC,21700167,2017
20171109/OKCDEN,21700168,2017
20171110/ATLDET,21700169,2017
20171110/CHABOS,21700170,2017
20171110/INDCHI,21700171,2017
20171110/LACOKC,21700172,2017
20171110/MILSAS,21700173,2017
20171110/ORLPHX,21700174,2017
20171110/MIAUTA,21700175,2017
20171110/BKNPOR,21700176,2017
20171111/ATLWAS,21700177,2017
20171111/LACNOP,21700178,2017
20171111/SACNYK,21700179,2017
20171111/MEMHOU,21700180,2017
20171111/CLEDAL,21700181,2017
20171111/LALMIL,21700182,2017
20171111/CHISAS,21700183,2017
20171111/PHIGSW,21700184,2017
20171111/ORLDEN,21700185,2017
20171111/MINPHX,21700186,2017
20171111/BKNUTA,21700187,2017
20171112/TORBOS,21700188,2017
